NiceForNow Configuration,Tất Cả
"Record with ""%1"" identifier exists already. Delete it before update. Row #%2","Bản ghi với định danh ""%1"" đã tồn tại. Xóa nó trước khi cập nhật. Hàng # %2"
Landing Page - Product rule indexing failed. See details in exception log.,Trang đích - Sản phẩm quy tắc sản phẩm không thành công. Xem chi tiết trong nhật ký ngoại lệ.
Landing Page - Product indexing failed. See details in exception log.,Trang đích - Sản phẩm thất bại. Xem chi tiết trong nhật ký ngoại lệ.
Requested page does not exist,Trang yêu cầu không tồn tại
Rule for this page does not exist,Quy tắc cho trang này không tồn tại
Unable to save page with ID %1. Error: %2,Không thể lưu trang Id %1. Lỗi: %2
Unable to save new page. Error: %1,Không thể lưu trang mới. Lỗi: %1
"page with specified ID ""%1"" not found.","không tìm thấy trang có ID ""%1"" được chỉ định."
Unable to remove page with ID %1. Error: %2,Không thể xóa trang có ID %1. Lỗi: %2
Unable to remove page. Error: %1,Không thể xóa trang. Lỗi: %1
Is New (by a period),Là mới (theo thời gian)
Is New (by 'is_new' attribute),Là mới (thuộc tính 'is_new')
Created (in days),Tạo (tính theo ngày)
Is on Sale,Đang được bán
Min Price,Giá thấp nhất
Max Price,Giá cao nhất
Is New by 'is_new' attribute,Là mới bởi thuộc tính 'is_new'
Is New,Là mới
Rating by 'rating_summary' attribute,Xếp hạng bởi thuộc tính 'rating_summary'
Stores should be selected.,Cửa hàng phải được chọn.
Category %1 (ID#%2) is not in Dynamic mode anymore.,Danh mục %1 (ID#%2) không ở chế độ động nữa.
Display mode of %1 category (ID#%2) is set to Dynamic.,Chế độ hiển thị của %1 danh mục (ID#%2) được đặt thành động.
Enable Auto Sorting,Bật sắp xếp tự động
Enable Manual Sorting,Bật sắp xếp thủ công
Move to top,Di chuyển lên trên
Search Volume,Search Volume
Allows to search by blog pages created with Amasty <a target='_blank' href='%1'>Blog</a> extension.,Cho phép tìm kiếm theo các trang blog được tạo bằng tiện ích Amasty <a target='_blank' href='%1'>Blog</a>.
For <a target='_blank' href='%1'>Improved Layered Navigation</a> and <a target='_blank' href='%2'>Shop by Brand</a>.,Cho <a target='_blank' href='%1'>Điều hướng phân lớp được cải thiện</a> và <a target='_blank' href='%2'>Mua theo thương hiệu</a>.
See more details about landing pages <a target='_blank' href='%1'>here</a>.,Xem thêm chi tiết về landing pages <a target='_blank' href='%1'>tại đây</a>.
Undefined collection factory,Chưa xác định collection factory
Search Analytics,Phân tích tìm kiếm
Most Wanted Search Terms,Từ khóa tìm kiếm mong muốn nhất
Recent Activity (Search Volume),Hoạt động gần đây (Khối lượng tìm kiếm)
Total Searches,Tổng số lượt tìm kiếm
Unique Searches,Tìm kiếm duy nhất
Engagement,Đối tác
A new comment was added,Một bình luận mới đã được thêm
A new comment on the post,Có một bình luận mới trên bài viết
was added,đã được thêm
It's waiting for your approval,Đang chờ sự chấp thuận của bạn
Click ,Nhấn Chọn
 to see the comment, để xem bình luận
Best Regards,Trân trọng
Sincerely,Trân trọng
You have a new quote request placed by,Bạn có một yêu cầu báo giá được đặt bởi
Request details:,Chi tiết yêu cầu:
Phone Number: %phone,Số điện thoại: %phone
Product: %product,Sản phẩm: %product
Thank you for contacting us!,Cám ơn bạn đã liên lạc với chúng tôi!
Your quote request is being processed at the moment.,"Tại thời điểm này, Yêu cầu báo giá của bạn đang được xử lý."
We’ll get back to you as soon as possible,Chúng tôi sẽ liên lạc lại với bạn sớm nhất có thể
new user registered:%name,người dùng mới đã đăng ký:%name
Information:,thông tin:
E-mail:,E-mail:
Customer ID:,ID khách hàng:
Ceated at:,Ngày tạo:
Proceed through checkout faster when making a purchase,Tiến trình thanh toán nhanh hơn khi mua hàng
Make changes to your account information,Thay đổi thông tin tài khoản của bạn
Change your password,Thay đổi mật khẩu của bạn
Store alternative addresses (for shipping to multiple family members and friends!),Lưu trữ địa chỉ thay thế (để vận chuyển cho nhiều thành viên gia đình và bạn bè!)
"Thank you again,%store","Cảm ơn bạn,%store"
"Enter comma separated or ranges. Example: AB1-AF1,AS1.","Nhập dấu phẩy hoặc phạm vi. Ví dụ: AB1-AF1, AS1."
No Historycal Data,Không có lịch sử
To register an account simply add a password.,Vui lòng xác nhận mật khẩu của bạn.
Please confirm your password.,Vui lòng xác nhận mật khẩu của bạn.
[edit],[edit]
 %earned_reward reward points earned at %store_name, %earned_reward điểm thưởng kiếm được tại %store_name
Reward Points!,Điểm thưởng!
Point Earned,Điểm đã nhận được
"Hello %customer_name,","Xiin chào %customer_name,"
Thank you for being our loyal customer.,Cảm ơn bạn đã tin tưởng sản phẩm của chúng tôi.
You just ,Bạn mới
earned ,đã kiếm được
reward points as a bonus ,điểm thưởng như một phần thưởng
 Reward points were added to your balance on , Điểm thưởng đã được thêm vào số dư của bạn trên
. You can use it for purchasing items in our online store right away.,. Bạn có thể sử dụng nó để mua các mặt hàng trong cửa hàng trực tuyến của chúng tôi ngay lập tức.
Visit the Store,Xem Qua Cửa Hàng
Kindest Regards,Cảm Ơn
Facebook Link,Facebook Link
Facebook Icon,Facebook Icon
Twitter Link,Twitter Link
Twitter Icon,Twitter Icon
Instagram Link,Instagram Link
Instagram Icon,Instagram Icon
%store_name: %total_rewards points are expiring soon,%store_name: %total_rewards điểm sắp hết hạn
Reward points expiring!,Điểm thưởng hết hạn!
Point Expiring,Điểm hết hạn
You Have ,Bạn có
 points left , số điểm còn lại
 for every, cho tất cả
Note: You need at least ,Lưu ý: Bạn cần ít nhất
 points to pay for the order with reward points., điểm để trả cho đơn đặt hàng với điểm thưởng.
Apply Reward,Áp dụng phần thưởng
Customer E-mail:,E-mai khách hàng:
Requested Items:,Items được yêu cầu:
Rma for order,Rma cho đơn hàng
has changed status,đã thay đổi trạng thái
Current status:,Trạng thái hiện tại:
Name:,Tên:
Group:,Nhóm:
Rating:,Xếp hạng:
Rating Comment: ,Đánh giá bình luận:
Order:,Đơn hàng:
Purchased From:,Được mua từ:
Customer’s Direct Link,Direct Link của khách hàng
Copy Link,Sao chép Link
Choose a file for upload shipping label,Chọn một tập tin để upload tên vận chuyển
Return Reason:,Lý do trả lại hàng:
Items Conditions:,Điều kiện mặt hàng:
Resolution:,Giải pháp:
SKU:,SKU:
This product is already returned. Existing Return(s):,Sản phẩm này đã được trả lại. Mặt hàng trả lại:
Start of conversation with customer,Bắt đầu cuộc trò chuyện với khách hàng
Start of conversation with manager,Bắt đầu cuộc trò chuyện với quản lý
Dear,Kính gửi
RMA Request,RMA Request
has been created,đã được tạo
RMA ID:,RMA ID:
status of yours,trạng thái của bạn
has been changed,đã thay đổi
GeoIp data is up-to-date.,GeoIp data đã được cập nhật.
Switch to table input,Chuyển sang table input
Switch to textarea input (for mass insert),Chuyển sang textarea input (cho thêm hàng loạt)
Form Completion Rate of [[category]]: [[value]]%,Form Completion Rate của [[category]]: [[value]]%
Checkout Sections,Phần thanh toán
Selected payment method is not available anymore,Phương thức thanh toán được chọn không còn khả dụng nữa
Gift messages has been successfully updated,Tin nhắn quà tặng đã được cập nhật thành công
No payment method selected,Chựa lực chọn phương thức thanh toán.
No shipping method selected,Chựa lực chọn phương thức vận chuyển
Number Of Gift Items,Số lượng quà tặng
"Please see ","Vui lòng xem "
usage example,ví dụ sử dụng
"Sorry, Google failed to get directions and answered with status: ","Xin lỗi, Google không nhận được điều hướng và trả lời bằng trạng thái: "
"Sorry, there is no available view of the street yet.","Xin lỗi, không có chế độ hiển thị đường phố."
Select Some Options,Chọn một số tùy chọn
"Sorry we're unable to display the nearby stores because the ""Use browser location"" option is disabled in the module settings. Please, contact the administrator.","Xin lỗi, Không thể hiển thị các cửa hàng gần đó vì tùy chọn ""Sử dụng vị trí trình duyệt"" bị vô hiệu hóa trong cài đặt module. Hãy liên hệ với quản trị viên."
You need to choose address from the dropdown with suggestions.,Bạn cần chọn địa chỉ từ danh sách với các gợi ý.
"Sorry, no locations were found.","Xin lỗi, không có địa điểm nào được tìm thấy."
Add or Deduct Points,Thêm hoặc trừ điểm
The field should contain no more than 2 decimal places.,Thẻ nên chứa không quá 2 chữ số thập phân.
Purchase is made bonus for order,Mua hàng được cộng tiền thưởng cho hóa đơn
Newsletter subscription bonus,Phần thưởng đăng ký bản tin
Birthday points,Điểm sinh nhật
Spending every $X amount bonus,Chi tiêu mỗi $X số tiền thưởng
Registration bonus,Phần thưởng đăng ký
Inactive for a long time bonus,Không hoạt động trong thời gian dài
Review written bonus,Đánh giá tiền thưởng bằng văn bản
You Canceled Reward.,Bạn đã hủy phần thưởng.
for registration!,để đăng ký!
You can earn,Bạn có thể kiếm
Earn,Kiếm
for buying this product!,để mua sản phẩm này!
Provided service call does not exist.,Cuộc gọi dịch vụ được cung cấp không tồn tại.
for completing your purchase!,để hoàn thành mua hàng của bạn!
Customer is supposed to cover shipping costs,Khách hàng phải trang trải chi phí vận chuyển
Condition/Reason/Resolution are required fields.,Điều kiện / Lý do / Giải quyết là các trường bắt buộc.
Return Qty more than Available Qty for %1,Trả về số lượng nhiều hơn số lượng có sẵn cho %1
The Amount of Return Qty less than Initial for %1. The Initial Qty is %2,Số tiền của số lượng sản phẩm trả lại ít hơn số tiền ban đầu %1. Số lượng ban đầu là %2
Are you sure you want to delete the message?,Bạn muốn xóa tin nhắn?
Message or Message Files are empty.,Tin nhắn hoặc tập tin trống.
Carrier wasn't selected or tracking number wasn't filled.,Người vận chuyển không được chọn hoặc tracking number không được điền.
Please Select Reason for,Vui lòng chọn lý do hoàn trả cho
Please Select Condition for,Vui lòng chọn điều kiện hoàn trả cho
Please Select Resolution for,Vui lòng chọn giải pháp hoàn trả cho
Please Select Qty for,Vui lòng chọn số lượng hoàn trả cho
Please accept the Return Policy,Vui lòng chấp nhận Chính sách hoàn trả
Enter Keyword or Item,Nhập từ khóa hoặc mục
Clear Field,Xóa Field
Log Settings,Cài đặt Log
Enable Page Visit History,Bật lịch sử truy cập trang
Log Actions For All Admin Users,Bật lịch sử truy cập trang
Admin Users To Log Actions For,Người dùng quản trị để ghi lại hành động cho
"Automatically Clear Action Logs After, Days","Tự động xóa nhật ký hành động sau, ngày"
"Automatically Clear Login Attempts After, Days","Tự động xóa các nỗ lực đăng nhập sau, ngày"
